Coll_Dt,Matrix_Type,Point,Value
2024-01-08,Trinity Tray                  ,Point_A,2.02      
2024-01-08,Trinity Tray                  ,Point_A,2.04      
2024-01-08,Trinity Tray                  ,Point_A,2.09      
2024-01-08,Trinity Tray                  ,Point_A,2.02      
2024-01-08,Trinity Tray                  ,Point_A,2.03      
2024-01-08,Trinity Tray                  ,Point_A,2.12      
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Inner Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-09,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Inner Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,MOPS Outer Pouch              ,Point_A,          
2024-01-08,Dual Outer Tray               ,Point_A,6.83      
2024-01-08,Dual Outer Tray               ,Point_A,7.01      
2024-01-08,Dual Outer Tray               ,Point_A,5.53      
2024-01-08,Lyo Jar Tray                  ,Point_A,5.76      
2024-01-08,Lyo Jar Tray                  ,Point_A,5.76      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.30      
2024-01-08,Dual Outer Tray               ,Point_A,5.45      
2024-01-08,Dual Outer Tray               ,Point_A,4.32      
2024-01-08,Dual Outer Tray               ,Point_A,4.46      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.58      
2024-01-08,Lyo Jar Tray                  ,Point_A,7.03      
2024-01-08,Lyo Jar Tray                  ,Point_A,6.26      
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,Foil/Foil Pouch               ,Point_A,          
2024-01-08,"5"" Outer Tray                 ",Point_A,2.57      
2024-01-08,"5"" Outer Tray                 ",Point_A,2.74      
2024-01-08,"5"" Outer Tray                 ",Point_A,2.65      
2024-01-10,DBX Inner Tray                ,Point_A,6.80      
2024-01-10,DBX Inner Tray                ,Point_A,6.81      
2024-01-10,DBX Inner Tray                ,Point_A,7.00      
2024-01-10,DBX Inner Tray                ,Point_A,7.13      
2024-01-10,DBX Inner Tray                ,Point_A,7.16      
2024-01-10,DBX Inner Tray                ,Point_A,7.11      
2024-01-10,DBX Outer Tray                ,Point_A,6.81      
2024-01-10,DBX Outer Tray                ,Point_A,6.22      
2024-01-10,DBX Outer Tray                ,Point_A,6.24      
2024-01-10,DBX Outer Tray                ,Point_A,6.36      
2024-01-10,DBX Outer Tray                ,Point_A,6.38      
2024-01-10,DBX Outer Tray                ,Point_A,6.49      
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Dual Inner Tray               ,Point_A,1.72      
2024-01-08,Dual Inner Tray               ,Point_A,1.63      
2024-01-08,Dual Inner Tray               ,Point_A,1.66      
2024-01-08,Dual Inner Tray               ,Point_A,1.74      
2024-01-08,Dual Inner Tray               ,Point_A,1.80      
2024-01-08,Dual Inner Tray               ,Point_A,1.63      
2024-01-08,"5"" Inner Tray                 ",Point_A,1.79      
2024-01-08,"5"" Inner Tray                 ",Point_A,1.76      
2024-01-08,"5"" Inner Tray                 ",Point_A,1.74      
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Polyester Barrier Pouch       ,Point_A,          
2024-01-08,Inner Q-pack COP Tray         ,Point_A,5.86      
2024-01-08,Inner Q-pack COP Tray         ,Point_A,5.96      
2024-01-08,Inner Q-pack COP Tray         ,Point_A,6.11      
2024-01-08,Outer Q-pack Tray             ,Point_A,1.45      
2024-01-08,Outer Q-pack Tray             ,Point_A,2.09      
2024-01-08,Outer Q-pack Tray             ,Point_A,1.76      
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-1         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-2         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-3         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-4         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-5         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-6         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-7         
2024-01-12,Tyvek Pouches                 ,Point_A,PEEL-240110715-8         
2024-01-15,DBX Inner Tray                ,Point_A,8.03      
2024-01-15,DBX Inner Tray                ,Point_A,7.73      
2024-01-15,DBX Inner Tray                ,Point_A,7.28      
2024-01-15,DBX Outer Tray                ,Point_A,5.99      
2024-01-15,DBX Outer Tray                ,Point_A,6.46      
2024-01-15,DBX Outer Tray                ,Point_A,6.52      
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Foil/Foil Pouch               ,Point_A,          
2024-01-15,Tyvek Pouches                 ,Point_A,          
2024-01-15,Tyvek Pouches                 ,Point_A,          
2024-01-15,Tyvek Pouches                 ,Point_A,          
2024-01-15,Lyo Jar Tray                  ,Point_A,7.19      
2024-01-15,Lyo Jar Tray                  ,Point_A,6.50      
2024-01-15,Lyo Jar Tray                  ,Point_A,6.79      
2024-01-11,Foil/Foil Pouch               ,Point_A,          
2024-01-11,Foil/Foil Pouch               ,Point_A,          
2024-01-11,Foil/Foil Pouch               ,Point_A,          
2024-01-12,Tyvek Pouches                 ,Point_A,          
2024-01-12,Tyvek Pouches                 ,Point_A,          
2024-01-12,Tyvek Pouches                 ,Point_A,          
2024-01-17,Tyvek Pouches                 ,Point_A,          
2024-01-17,Tyvek Pouches                 ,Point_A,          
2024-01-17,Tyvek Pouches                 ,Point_A,          
2024-01-15,Trinity Tray                  ,Point_A,2.12      
2024-01-15,Trinity Tray                  ,Point_A,1.86      
2024-01-15,Trinity Tray                  ,Point_A,1.98      
2024-01-17,Trinity Tray                  ,Point_A,2.24      
2024-01-17,Trinity Tray                  ,Point_A,2.37      
2024-01-17,Trinity Tray                  ,Point_A,1.98      
2024-01-17,Polyester Barrier Pouch       ,Point_A,          
2024-01-17,Polyester Barrier Pouch       ,Point_A,          
2024-01-17,Polyester Barrier Pouch       ,Point_A,          
2024-01-17,Trinity Tray                  ,Point_A,1.80      
2024-01-17,Trinity Tray                  ,Point_A,1.76      
2024-01-17,Trinity Tray                  ,Point_A,1.90      
2024-01-15,Trinity Tray                  ,Point_A,1.95      
2024-01-15,Trinity Tray                  ,Point_A,1.66      
2024-01-15,Trinity Tray                  ,Point_A,1.84      
2024-01-17,MOPS Inner Pouch              ,Point_A,          
2024-01-17,MOPS Inner Pouch              ,Point_A,          
2024-01-17,MOPS Inner Pouch              ,Point_A,          
2024-01-17,MOPS Outer Pouch              ,Point_A,          
2024-01-17,MOPS Outer Pouch              ,Point_A,          
2024-01-17,MOPS Outer Pouch              ,Point_A,          
2024-01-15,MOPS Inner Pouch              ,Point_A,          
2024-01-15,MOPS Inner Pouch              ,Point_A,          
2024-01-15,MOPS Inner Pouch              ,Point_A,          
2024-01-15,MOPS Outer Pouch              ,Point_A,          
